Animal,Treatment,Duration Cued Block 1,Duration Cued Block 2,Duration Cued Block 3,Duration Cued Block 4,Duration Cued Block 5,Duration Spatial1 Block 1,Duration Spatial1 Block 2,Duration Spatial1 Block 3,Duration Spatial1 Block 4,Duration Spatial1 Block 5,Duration Spatial2 Block 1,Duration Spatial2 Block 2,Duration Spatial2 Block 3,Duration Spatial2 Block 4,Duration Spatial2 Block 5,Duration Spatial3 Block 1,Duration Spatial3 Block 2,Duration Spatial3 Block 3,Duration Spatial3 Block 4,Duration Spatial3 Block 5,Duration Cued,Duration Spatial1,Duration Spatial2,Duration Spatial3,Duration Spatial,Distance Cued Block 1,Distance Cued Block 2,Distance Cued Block 3,Distance Cued Block 4,Distance Cued Block 5,Distance Spatial1 Block 1,Distance Spatial1 Block 2,Distance Spatial1 Block 3,Distance Spatial1 Block 4,Distance Spatial1 Block 5,Distance Spatial2 Block 1,Distance Spatial2 Block 2,Distance Spatial2 Block 3,Distance Spatial2 Block 4,Distance Spatial2 Block 5,Distance Spatial3 Block 1,Distance Spatial3 Block 2,Distance Spatial3 Block 3,Distance Spatial3 Block 4,Distance Spatial3 Block 5,Distance Cued,Distance Spatial1,Distance Spatial2,Distance Spatial3,Distance Spatial,Speed Cued Block 1,Speed Cued Block 2,Speed Cued Block 3,Speed Cued Block 4,Speed Cued Block 5,Speed Spatial1 Block 1,Speed Spatial1 Block 2,Speed Spatial1 Block 3,Speed Spatial1 Block 4,Speed Spatial1 Block 5,Speed Spatial2 Block 1,Speed Spatial2 Block 2,Speed Spatial2 Block 3,Speed Spatial2 Block 4,Speed Spatial2 Block 5,Speed Spatial3 Block 1,Speed Spatial3 Block 2,Speed Spatial3 Block 3,Speed Spatial3 Block 4,Speed Spatial3 Block 5,Speed Cued,Speed Spatial1,Speed Spatial2,Speed Spatial3,Speed Spatial,Probe Entries 1,Probe Entries 2,Probe Entries 3,Probe Entries Ave,Probe Percent1,Probe Percent2,Probe Percent3,Probe Percent Ave,Probe2 Opposite %,Working Mem1 Duration Trial 1,Working Mem1 Duration Trial 2,Working Mem1 Duration Diff,Working Mem2 Duration Trial 1,Working Mem2 Duration Trial 2,Working Mem2 Duration Diff,Working Mem3 Duration Trial 1,Working Mem3 Duration Trial 2,Working Mem3 Duration Diff,Working Mem Duration Trial 1 Ave,Working Mem Duration Trial 2 Ave,Working Mem Duration Diff Ave,Working Mem1 Distance Trial 1,Working Mem1 Distance Trial 2,Working Mem1 Distance Diff,Working Mem2 Distance Trial 1,Working Mem2 Distance Trial 2,Working Mem2 Distance Diff,Working Mem3 Distance Trial 1,Working Mem3 Distance Trial 2,Working Mem3 Distance Diff,Working Mem Distance Trial 1 Ave,Working Mem Distance Trial 2 Ave,Working Mem Distance Diff Ave
1029,Fx,29.5,17.85,8.35,5.9,3.15,19.5,26.15,13.35,41.75,28.65,32.25,3.95,7.5,11.05,9.7,60,30.15,38.85,9.2,10.4,12.95,25.88,12.89,29.72,22.83,5.977,2.9495,1.2685,0.8975,0.04,3.8345,5.062,1.989,6.9815,3.8545,4.786,0.4045,0.197,1.4655,0.995,9.6245,5.186,5.4155,1.3265,1.2595,2.2265,4.3443,1.5696,4.5624,3.4921,5.000081243,6.043333304,6.631345595,6.573631978,17.5,7.425748563,5.16278332,8.130563451,6.256548899,7.802560448,3.134141246,3.70828183,4.822335026,11.06660874,12.56936597,6.243849084,6.217109097,8.001639787,14.54052733,31.25151271,8.349678424,6.955640936,7.060146563,13.2509276,9.088905033,4,6,3,4,27,51.83,16.33,31.72,18.83,2.2,36.8,-34.6,60,4.5,55.5,60,60,0,40.73333333,33.76666667,6.966666667,0.222,7.447,-7.225,9.572,0,9.572,10.005,9.244,0.761,6.599666667,5.563666667,1.036
1030,Fx,19.75,23.9,13.65,7.9,4.1,3.6,6.95,6.45,6.1,15.65,17.75,23.45,9.8,7.3,4.35,8.8,8.15,4.7,7.25,24.15,13.86,7.75,12.53,10.61,10.29666667,2.889,4.6085,2.635,1.3615,0.496,0.405,0.8915,0.519,0.8645,2.4275,0.8135,3.5475,1.331,1.004,0.3195,1.203,0.9455,0.479,0.8965,3.912,2.398,1.0215,1.4031,1.4872,1.303933333,6.897761402,6.123379166,5.23440164,5.894377511,8.11965812,10.31384413,9.100349707,12.75124849,7.27348627,12.88680795,25.56452634,7.006868415,7.389355963,7.673244768,45.42126486,7.28815398,20.42357274,16.40190857,8.058063702,7.369503454,6.453915568,10.46514731,18.61105207,11.90824049,13.66147996,5,3,5,4,37.17,27.67,32.17,32.33,25.17,5,2.2,2.8,27.6,7.9,19.7,11.7,5.9,5.8,14.76666667,5.333333333,9.433333333,0.638,0.172,0.466,0.64,0.987,-0.347,1.587,0.819,0.768,0.955,0.659333333,0.295666667
1031,Fx,21,29.5,7.55,4.9,3.25,19.4,29.4,9.55,25.85,11.5,12.9,17.3,18.3,5.15,5.7,43.35,15.9,4.35,31.3,14.2,13.24,19.14,11.87,21.82,17.61,3.197,5.3555,1.346,0.7525,0.4415,4.108,6.002,1.3585,4.285,1.657,1.952,3.137,2.8435,0.624,0.0155,6.2775,2.15,0.522,4.7695,2.0105,2.2185,3.4821,1.7144,3.1459,2.7808,12.84845739,5.482740187,5.706058774,6.516605258,7.351708075,4.844253854,5.070011009,7.428063112,5.988744339,8.431199277,6.79300523,7.636122355,7.261358461,10.74074074,#DIV/0!,7.175166193,10.89553924,10.03057584,13.50454201,20.17286478,7.581113937,6.352454318,#DIV/0!,12.35573761,#DIV/0!,1,3,1,2,24.17,33.17,25.33,27.56,15.17,29.8,9,20.8,18.5,7.3,11.2,60,26.7,33.3,36.1,14.33333333,21.76666667,6.437,1.779,4.658,2.887,1.017,1.87,9.119,3.436,5.683,6.147666667,2.077333333,4.070333333
1032,Ac,23.25,3.6,11.95,7.25,4.4,12.4,26.05,13.85,8.5,4.55,34.4,3.05,3.55,15.1,9.8,12.75,21.2,6.9,3,3.9,10.09,13.07,13.18,9.55,11.93333333,4.692,0.519,2.3125,1.114,0.554,2.3085,4.911,1.741,0.48,0.4155,6.025,0.3,0.341,1.848,0.4035,1.6395,3.2945,0.79,0.2925,0.4275,1.8383,1.9712,1.7835,1.2888,1.681166667,5.41115312,7.676431393,5.343450122,6.626579239,8.050102086,5.677541542,6.257513091,9.839447975,17.93195911,11.19054635,5.707856903,11.32946002,10.56742,8.148350739,4.956629492,8.379670293,6.673930637,2.879746836,3.504273505,15.57615894,6.621543192,10.17940161,8.14194343,7.402756042,8.574700362,4,6,2,4,33.67,45.83,27.33,35.61,25.33,17.7,7.1,10.6,37.3,31.5,5.8,15.3,10.2,5.1,23.43333333,16.26666667,7.166666667,3.486,1.131,2.355,6.511,5.539,0.972,2.257,1.022,1.235,4.084666667,2.564,1.520666667
1042,Sh,6.4,15.4,15.65,10.25,19,16.8,3.55,31.9,6.9,35.95,10.5,5.5,5.25,3.55,7.15,24.25,54.8,8.25,4.05,6.55,13.34,19.02,6.39,19.58,14.99666667,0.714,2.6155,2.4475,1.707,3.4405,3.4115,0.3865,6.089,0.813,5.911,1.1155,0.4085,0.443,0.356,0.6215,3.366,9.8045,0.893,0.2525,0.674,2.1849,3.3222,0.5889,2.998,2.303033333,14.05653171,5.610246039,6.200850889,5.982985594,5.52113333,5.009658464,9.396275741,6.296624924,9.133974275,6.082955669,10.18084438,4.651162791,12.89274795,11.36046568,11.51658486,7.254488519,5.605071624,16.92111305,17.02924763,15.46826019,7.474349511,7.183897814,10.12036113,12.4556362,9.919965049,5,6,3,5,51.83,46.5,32.33,43.56,17.83,12.1,21.5,-9.4,12.8,8.2,4.6,24,24.5,-0.5,16.3,18.06666667,-1.766666667,2.296,4.527,-2.231,1.555,0.676,0.879,3.629,3.103,0.526,2.493333333,2.768666667,-0.275333333
1043,Sh,19.1,14,6.9,15.5,13.7,15.35,4.75,4.5,3.45,3.25,35.15,30.2,17.15,5.95,5.75,29.75,38.3,16.45,7.1,10.45,13.84,6.26,18.84,20.41,15.17,2.8985,2.026,1.1515,3.028,2.1845,2.8875,0.6365,0.4405,0.2855,0.196,4.698,4.8105,2.565,0.5815,0.511,5.165,6.561,2.527,0.9055,1.516,2.2577,0.8892,2.6332,3.3349,2.285766667,7.403141882,9.471005403,6.157663841,5.10291973,6.60919847,5.486416686,7.672467547,11.5518846,12.0842245,24.87773142,7.885109651,9.117924539,7.708811063,11.55507732,12.1668036,6.005463559,6.097316008,6.620374024,19.59260654,12.85829969,6.948785865,12.33454495,9.686745233,10.23481196,10.75203405,0,5,3,3,18.33,51.67,25.67,31.89,21,21.5,9.2,12.3,58.3,12,46.3,46.1,13.4,32.7,41.96666667,11.53333333,30.43333333,4.205,1.57,2.635,7.978,1.418,6.56,8.242,2.088,6.154,6.808333333,1.692,5.116333333
1044,Sh,18.25,8.1,9.8,10.4,6.55,9.5,3.5,12.25,9.65,13.4,9.85,16.8,6.2,4.55,4.25,24.25,13.7,2.6,6,8.45,10.62,9.66,8.33,11,9.663333333,2.7655,1.477,1.6205,1.649,0.8455,1.6335,0.475,2.0235,1.374,2.211,1.4495,2.759,0.617,0.52,0.293,4.3175,1.8975,0.2325,0.8465,1.3365,1.6715,1.5434,1.1277,1.7261,1.465733333,7.057531619,5.568501363,6.225754018,6.357102458,7.939358504,6.538171919,11.77178452,6.249348123,9.931127899,6.741150862,7.018378295,6.655742332,9.909902311,10.34083993,28.67715618,5.732829108,7.536907537,12.9914175,8.327519812,6.669628137,6.629649592,8.246316665,12.52040381,8.251660419,9.672793631,4,6,4,5,34.83,38.17,29.67,34.22,15.5,4.7,14.3,-9.6,7.7,12,-4.3,18.6,29.9,-11.3,10.33333333,18.73333333,-8.4,0.611,2.656,-2.045,0.996,1.903,-0.907,3.037,5.598,-2.561,1.548,3.385666667,-1.837666667
1045,Fx,60,30.4,4.5,4.45,14.35,11.55,13.65,7.65,11.3,11.95,12.75,7.25,13.7,27.45,3.05,17.9,11.9,15.05,7.15,5.55,22.74,11.22,12.84,11.51,11.85666667,10.691,5.412,0.5815,0.607,2.4665,2.123,2.1805,0.703,1.0865,1.1845,1.4245,0.945,2.146,4.7885,0.254,2.855,1.787,2.597,0.919,0.491,3.9516,1.4555,1.9116,1.7298,1.698966667,5.612748936,6.273569234,10.7041107,7.476789936,5.695033335,5.442664255,6.333664472,3.769559033,10.85096036,12.19150741,8.952062381,13.69867829,8.126354536,9.696358072,13.33309699,6.241502974,6.688219377,6.151484984,7.758800893,4.378818738,7.152450428,7.717671106,10.76131005,6.243765393,8.240915518,5,4,2,4,32.33,31.67,34.5,32.83,18.33,11.6,11.5,0.1,12.3,13.2,-0.9,20.9,14.9,6,14.93333333,13.2,1.733333333,2.171,2.075,0.096,1.368,1.481,-0.113,3.24,2.47,0.77,2.259666667,2.008666667,0.251
1046,Fx,9.65,14.55,6.95,8.6,5.9,7.35,3.05,8.7,7.2,5.2,17.65,12.5,4.65,4.3,7.65,13.85,7.8,5.55,4.65,6.5,9.13,6.3,9.35,7.67,7.773333333,1.2875,2.307,1.301,1.321,0.833,1.151,0.241,1.14,1.073,0.6255,2.599,1.964,0.6205,0.487,0.789,1.54,0.8455,0.37,0.3655,0.652,1.4099,0.8461,1.2919,0.7546,0.9642,7.482836079,6.447933785,5.742174766,6.714177617,7.082324456,6.374632171,12.66012397,17.92582418,7.110894863,8.313099042,8.572104246,7.840372623,7.49961039,9.043415601,10.85832393,16.95529137,9.231759469,#DIV/0!,33.81512301,43.18985849,6.69388934,10.47691484,8.762765358,#DIV/0!,#DIV/0!,0,2,3,2,75,11.83,39.17,42,44.17,8,6.7,1.3,29.9,5.4,24.5,21,6.7,14.3,19.63333333,6.266666667,13.36666667,1.185,1.117,0.068,4.697,0.501,4.196,2.827,0.253,2.574,2.903,0.623666667,2.279333333
1047,Fx,48.9,6,5.7,10.15,3.55,3.05,33.6,3.8,5.35,6.7,25.2,6.75,6.2,11.6,6.35,60,33.9,39.45,25.6,19.5,14.86,10.5,11.22,35.69,19.13666667,8.541,0.7275,0.9815,1.7025,0.5255,0.407,6.5025,0.3945,0.6295,0.8265,4.117,0.9275,0.492,1.871,0.8515,9.245,5.639,6.2905,4.678,3.3415,2.4956,1.752,1.6518,5.8388,3.080866667,5.861044191,9.436751983,5.871013237,6.358428972,6.826794799,7.636525085,6.116008854,10.85695285,8.535322386,8.19649699,6.150065709,7.58109833,#DIV/0!,6.199325162,7.451801624,6.490947235,6.118781626,6.348685601,10.93727207,5.965513193,6.870806636,8.268261233,#DIV/0!,7.172239944,#DIV/0!,2,1,0,1,25.67,20.33,6.67,17.56,29,3.1,3,0.1,22.4,28,-5.6,60,60,0,28.5,30.33333333,-1.833333333,0.466,0.348,0.118,3.526,4.708,-1.182,9.357,9.133,0.224,4.449666667,4.729666667,-0.28
1048,Fx,6.6,9.2,5.4,5.2,15.95,14.1,7.4,26.8,12.95,31.55,11.25,7.4,20.95,26.25,10.1,11.4,12.8,6.6,6.7,3.1,8.47,18.56,15.19,8.12,13.95666667,1.064,1.4905,0.801,0.4705,3.1075,2.7275,1.1605,4.8705,2.079,5.532,1.4305,0.987,3.2815,5.2445,1.4085,1.749,2.0735,0.8615,0.8235,0.1455,1.3867,3.2739,2.4704,1.1306,2.291633333,6.290203704,6.76690548,7.008046879,14.91738309,5.642142668,5.30983208,6.392569788,6.193789105,6.989783474,18.88106309,8.196023477,13.30501798,26.08992377,5.162124156,7.164131535,6.655272947,6.287376409,7.823057012,9.714008746,26.67831707,8.124936363,8.753407508,11.98344418,11.43160644,10.72281938,4,5,4,4,32.5,37.17,33.33,34.33,21.67,19.1,9.1,10,9.8,12.7,-2.9,17.6,5.2,12.4,15.5,9,6.5,3.845,1.61,2.235,1.041,1.82,-0.779,2.744,0.754,1.99,2.543333333,1.394666667,1.148666667
1057,Fx,19,25.15,9.05,18.2,12.45,6.85,6.3,7.65,10.25,14.05,25.05,9.4,8.3,15.2,25.2,43.95,58.2,30.7,21.9,19.5,16.77,9.02,16.63,34.85,20.16666667,2.5225,4.0425,1.303,2.21,1.7365,0.8885,0.8105,1.051,0.587,2.0715,3.2545,0.6775,0.461,1.505,2.984,5.7465,9.1005,2.5595,1.613,1.4695,2.3629,1.0817,1.7764,4.0978,2.318633333,7.508528589,9.670966658,6.917343503,9.449577642,7.179554284,7.838741086,7.696182833,8.243323713,#DIV/0!,17.4089994,7.703669917,13.78568013,18.13510346,9.942007677,9.606582256,7.738203653,6.395199156,12.35234453,29.63819647,12.55852873,8.145194135,#DIV/0!,11.83460869,13.73649451,#DIV/0!,8,2,3,4,43.5,35.83,35.33,38.22,18.33,7.6,6.1,1.5,23.2,26.9,-3.7,57.1,30.8,26.3,29.3,21.26666667,8.033333333,1.06,0.717,0.343,2.981,3.528,-0.547,7.648,3.845,3.803,3.896333333,2.696666667,1.199666667
1058,Fx,27.8,16.6,22.5,8.5,6.3,14.5,5,8.7,11.3,4.35,35.85,12.9,12.25,5.5,4.5,37.35,23.2,13.05,13.5,19,16.34,8.77,14.2,21.22,14.73,4.364,2.4335,3.283,0.927,0.738,2.368,0.47,1.332,2.0155,0.3155,5.2625,1.6045,1.043,0.536,0.374,4.9405,3.024,1.136,1.92,2.279,2.3491,1.3002,1.764,2.6599,1.908033333,7.077611292,6.858614616,7.324331605,8.75467225,8.497914834,7.154161834,10.88056755,6.532401127,5.663746561,14.78102584,6.845617336,16.84739955,12.16171973,10.09229243,38.66657122,7.698447068,7.63841359,17.99213521,7.153132993,8.121800703,7.702628919,9.002380582,16.92272005,9.720785913,11.88196218,3,6,4,4,30,42.5,33.17,35.22,10.17,4.7,24.3,-19.6,25.7,46,-20.3,14.7,60,-45.3,15.03333333,43.43333333,-28.4,0.553,4.183,-3.63,3.694,6.831,-3.137,1.856,8.025,-6.169,2.034333333,6.346333333,-4.312
1059,Fx,14.75,24.2,8.9,22.25,4.95,6.65,4.6,7.25,6.1,6.3,41.75,25.95,9.3,6.35,7.75,49.95,33,50.45,41.5,13.3,15.01,6.18,18.22,37.64,20.68,1.983,4.437,1.4135,3.5745,0.5605,0.837,0.4905,0.7245,0.4985,0.4515,5.637,2.999,0.575,0.2765,0.68,5.9425,4.0475,5.8975,4.901,1.282,2.3937,0.6004,2.0335,4.4141,2.349333333,7.378632979,6.6172783,6.365035826,6.738979614,9.28297679,8.173202615,9.412320484,12.36657193,12.8678118,24.77874585,7.347105343,8.477270298,15.62880533,23.72619424,19.24250327,8.366996651,8.142468122,8.726404136,8.092716936,10.51515113,7.276580702,13.51973053,14.88437569,8.768747394,12.39095121,2,8,5,5,53.17,51.83,27,44,9.33,9.4,3.9,5.5,60,23.5,36.5,60,39.9,20.1,43.13333333,22.43333333,20.7,1.224,0.45,0.774,8.013,3.261,4.752,6.988,4.897,2.091,5.408333333,2.869333333,2.539
1060,Fx,25.25,21.25,10.5,12.8,5.35,6.8,5.35,10.2,5.2,4.35,60,41,21.35,4.55,12.8,14.95,18.45,25.6,13.4,4.15,15.03,6.38,27.94,15.31,16.54333333,3.932,3.683,1.4325,1.895,0.6755,0.968,0.564,1.2825,0.4335,0.2675,9.157,5.8475,2.348,0.433,1.6615,1.813,2.613,3.918,1.707,0.1345,2.3236,0.7031,3.8894,2.0371,2.209866667,6.461982299,5.858711363,7.022132355,7.40494982,8.643061122,7.007363753,12.93173736,7.892624194,17.19467563,18.97624898,6.573644488,7.111169702,8.453721689,16.89478585,11.94741673,8.043990571,6.9475754,6.983698285,7.814495905,31.75960771,7.078167392,12.80052998,10.19614769,12.30987357,11.76885042,4,5,3,4,36,33.33,23.67,31,32.5,8.8,4.8,4,60,60,0,20.3,9.6,10.7,29.7,24.8,4.9,1.245,0.691,0.554,9.678,8.636,1.042,2.313,1.313,1,4.412,3.546666667,0.865333333
1061,Fx,24.95,35.35,7.55,10.4,15.7,9.1,18.2,7.2,18.35,9.6,10.7,7.2,6.5,5.8,10.75,38.85,23.3,11.6,16.6,25.65,18.79,12.49,8.19,23.2,14.62666667,5.1595,6.9135,1.0405,1.76,2.696,1.0715,3.1875,0.287,3.0415,1.2645,1.726,0.661,0.7395,0.36,1.76,6.6845,3.781,1.783,2.686,4.193,3.5139,1.7704,1.0493,3.8255,2.215066667,4.891891966,5.760075428,7.288108547,5.972591694,7.607256248,78.53225036,7.054716242,24.83549377,#DIV/0!,14.69928648,6.626146566,33.60975383,10.41709006,18.31980698,6.083497006,6.191723221,6.223053533,6.560821783,12.83819663,6.201828232,6.303984776,#DIV/0!,15.01125889,7.60312468,#DIV/0!,2,3,4,3,28.17,27.83,27.17,27.72,21.5,7.6,10.6,-3,5.8,15.6,-9.8,60,17.7,42.3,24.46666667,14.63333333,9.833333333,0.05,2.093,-2.043,0.783,2.669,-1.886,10.771,2.598,8.173,3.868,2.453333333,1.414666667
